Rank,Major,Early Career Pay,Mid-Career Pay,High Meaning Pay
124,Robotics & Automation,"$66,500","$104,100",-
125,Building Construction (BC),"$63,600","$104,000",52%
126,Accounting & Computer Systems,"$60,200","$103,800",42%
126,Construction Science,"$64,000","$103,800",63%
128,Polymer Science & Engineering,"$69,200","$103,700",27%
129,Computing,"$59,800","$103,500",50%
129,Information Security & Assurance,"$60,600","$103,500",41%
129,Civil Engineering (CE),"$61,700","$103,500",65%
132,Mathematics,"$59,600","$103,400",45%
132,Government,"$52,200","$103,400",49%
134,Biochemistry & Molecular Biology,"$50,500","$103,300",70%
134,Information Technology Management,"$59,300","$103,300",48%
136,Finance & Real Estate,"$58,600","$103,200",45%
137,Construction Engineering,"$64,500","$103,100",57%
138,Business Logistics & Transportation,"$54,900","$102,900",48%
138,Construction Management,"$59,700","$102,900",58%
140,Aeronautical Science,"$55,300","$102,800",57%
141,Computer Management Information Systems (CMIS),"$54,300","$102,600",46%
142,Software Applications & Programming,"$56,400","$102,500",37%
143,Financial Economics,"$60,600","$102,300",44%
144,Marketing & International Business,"$49,700","$102,200",35%
145,Informatics,"$66,200","$101,900",41%
145,Medicine,"$75,500","$101,900",84%
147,Civil & Environmental Engineering,"$61,800","$101,800",67%
148,Atmospheric Science,"$47,300","$101,600",55%
149,Environmental Engineering,"$59,500","$101,300",64%
150,European Studies,"$45,200","$101,200",47%
150,Nuclear Engineering Technology (NET),"$78,200","$101,200",60%
152,Industrial Management,"$55,100","$101,000",55%
152,Information Systems (IS),"$59,900","$101,000",45%
154,Sales & Business Marketing,"$52,600","$100,800",49%
155,Business Computer Information Systems (BCIS),"$60,200","$100,700",36%
155,Organic Chemistry,"$46,000","$100,700",-
157,Business Operations,"$60,500","$100,600",-
158,Business Computer Science,"$50,200","$100,500",-
159,Business Finance,"$54,600","$100,300",43%
159,Safety Science,"$58,800","$100,300",-
161,Plastics Engineering Technology,"$63,800","$100,200",31%
162,Business Information Systems,"$61,700","$100,100",44%
163,International Management,"$49,300","$99,900",52%
164,Finance,"$56,800","$99,800",41%
165,Agricultural Economics,"$53,000","$99,700",59%
166,Economics & Political Science,"$54,200","$99,400",50%
166,Interactive Media,"$50,200","$99,400",32%
168,Computer Science & Information Technology,"$63,100","$99,100",49%
169,Agricultural Engineering (AE),"$60,400","$99,000",61%
169,Consumer Economics,"$51,200","$99,000",38%
171,International Business,"$52,100","$98,900",40%
172,Chinese Language,"$51,200","$98,700",47%
172,Financial Planning,"$50,400","$98,700",57%
174,Corporate Finance,"$61,000","$98,500",43%
175,Architectural Engineering,"$62,400","$98,400",58%
176,Building Construction Management,"$58,600","$98,000",59%
177,Engineering Technology (ET),"$55,300","$97,900",50%
177,Network Engineering,"$57,900","$97,900",46%
179,Computer Information Systems (CIS),"$56,900","$97,800",45%
179,International Marketing,"$56,200","$97,800",18%
179,Psychobiology,"$45,400","$97,800",64%
182,Electrical Engineering Technology (EET),"$63,100","$97,700",48%
182,Computer Information Systems,"$55,700","$97,700",43%
182,Real Estate,"$56,400","$97,700",38%
182,Molecular Biology,"$50,500","$97,700",70%
186,Operations Management (OM),"$58,000","$97,300",43%
187,Cybersecurity,"$63,000","$97,200",55%
187,Manufacturing,"$54,100","$97,200",56%
189,Construction Trades,"$56,300","$97,100",57%
190,International Relations,"$49,900","$96,800",49%
190,Politics,"$50,600","$96,800",53%
192,Economics & Management,"$52,700","$96,600",-
193,Industrial Hygiene,"$55,800","$96,200",55%
194,Software Development,"$61,000","$96,000",44%
194,Telecommunications Management,"$49,800","$96,000",46%
196,Supply Chain Management,"$59,000","$95,900",41%
197,Mechanical Engineering Technology (MET),"$61,200","$95,800",48%
198,Accounting & Auditing,"$55,400","$95,700",42%
198,Network Security,"$57,500","$95,700",47%
200,Entrepreneurship & Leadership,"$52,300","$95,600",46%
200,Geological Engineering,"$59,100","$95,600",57%
202,Product Design,"$58,600","$95,500",40%
203,Electronics,"$57,000","$95,400",61%
203,Food Marketing,"$54,500","$95,400",25%
203,Safety Management,"$57,400","$95,400",70%
206,German Studies,"$47,400","$95,300",43%
206,Industrial & Labor Relations,"$63,800","$95,300",51%
208,Agricultural Economics & Business,"$51,400","$95,200",55%
208,Aviation Management,"$48,400","$95,200",53%
210,Biochemistry (BCH),"$47,500","$95,100",60%
211,Computer Science (CS) & Business,"$60,800","$95,000",40%
211,Construction Science & Management,"$61,500","$95,000",68%
213,Accounting & Finance,"$55,800","$94,900",45%
213,Comparative Literature,"$44,600","$94,900",45%
213,International & Comparative Politics,"$46,100","$94,900",49%
216,East Asian Studies,"$46,900","$94,800",43%
217,Logistics & Supply Chain Management,"$56,200","$94,400",46%
217,Russian & Eastern European Studies,"$50,800","$94,400",-
219,Occupational Health and Safety,"$57,100","$94,300",68%
220,Aviation,"$50,000","$94,000",42%
220,Manufacturing Technology,"$57,100","$94,000",45%
222,Physical Therapy,"$53,500","$93,900",90%
222,Labor Relations,"$48,900","$93,900",39%
224,Government & International Politics (GVIP),"$49,800","$93,800",46%
224,Information Technology (IT),"$56,100","$93,800",45%
226,City & Regional Planning,"$49,700","$93,700",70%
226,Information Science (IS),"$62,600","$93,700",38%
228,Business & Marketing,"$47,800","$93,600",44%
229,Agribusiness,"$48,000","$93,400",53%
229,Management Studies,"$43,500","$93,400",73%
231,Industrial Design (ID),"$52,100","$93,100",41%
232,Chemistry,"$49,200","$93,000",55%
232,Information Technology (IT) & Systems,"$58,600","$93,000",47%
232,Environmental Health & Safety,"$54,500","$93,000",67%
235,Electronics Engineering Technology (EET),"$61,600","$92,900",53%
235,Organizational Behavior,"$54,000","$92,900",49%
